points,place,long_place,competition.id,competitor.id
500,3.0,3. place,2309,36058_51_6
160,,1/16,2289,36058_51_6
112,,1/16,2306,36058_51_6
700,1.0,1. place,2292,36058_51_6
500,1.0,1. place,2233,36058_51_6
396,5.0,5. place,2035,36058_51_6
360,5.0,5. place,2239,36058_51_6
350,2.0,2. place,2267,36058_51_6
250,3.0,3. place,2317,36058_51_6
350,1.0,1. place,2052,36058_51_6
720,5.0,5. place,2298,17473_13_13
700,2.0,2. place,2315,17473_13_13
500,3.0,3. place,2296,17473_13_13
1100,1.0,1. place,2035,17473_13_13
500,1.0,1. place,2234,17473_13_13
630,2.0,2. place,2180,17473_13_13
1000,1.0,1. place,2284,10699_8_5
700,2.0,2. place,2282,10699_8_5
360,5.0,5. place,2311,10699_8_5
160,,1/16,2296,10699_8_5
20,,participation,2298,10699_8_5
350,3.0,3. place,2293,10699_8_5
350,2.0,2. place,2267,10699_8_5
350,1.0,1. place,2253,10699_8_5
250,3.0,3. place,2230,10699_8_5
180,5.0,5. place,2227,10699_8_5
176,,1/16,2035,10699_8_5
175,3.0,3. place,2045,10699_8_5
720,5.0,5. place,2298,20102_193_12
700,2.0,2. place,2296,20102_193_12
500,3.0,3. place,2364,20102_193_12
490,2.0,2. place,2306,20102_193_12
360,5.0,5. place,2289,20102_193_12
360,5.0,5. place,2239,20102_193_12
350,2.0,2. place,2227,20102_193_12
250,3.0,3. place,2267,20102_193_12
126,5.0,5. place,2045,20102_193_12
5,,participation,2238,20102_193_12
144,,1/16,2180,20102_193_12
700,2.0,2. place,2288,2080_49_11
360,5.0,5. place,2296,2080_49_11
350,3.0,3. place,2306,2080_49_11
320,,1/16,2298,2080_49_11
260,7.0,7. place,2289,2080_49_11
252,5.0,5. place,2292,2080_49_11
360,5.0,5. place,2239,2080_49_11
350,2.0,2. place,2238,2080_49_11
286,7.0,7. place,2035,2080_49_11
250,3.0,3. place,2317,2080_49_11
130,7.0,7. place,2233,2080_49_11
350,1.0,1. place,2237,2080_49_11
700,2.0,2. place,2309,13510_28_7
700,1.0,1. place,2306,13510_28_7
260,7.0,7. place,2364,13510_28_7
160,,1/16,2289,13510_28_7
20,,participation,2298,13510_28_7
700,1.0,1. place,2293,13510_28_7
350,1.0,1. place,2253,13510_28_7
250,3.0,3. place,2260,13510_28_7
250,3.0,3. place,2227,13510_28_7
160,,1/16,2239,13510_28_7
91,7.0,7. place,2045,13510_28_7
144,,1/16,2180,13510_28_7
1000,1.0,1. place,2296,13036_3_1
320,,1/16,2298,13036_3_1
260,7.0,7. place,2282,13036_3_1
160,,1/16,2309,13036_3_1
10,,participation,2284,13036_3_1
350,3.0,3. place,2293,13036_3_1
500,1.0,1. place,2234,13036_3_1
176,,1/16,2035,13036_3_1
160,,1/16,2239,13036_3_1
144,,1/16,2180,13036_3_1
130,7.0,7. place,2230,13036_3_1
175,3.0,3. place,2045,13036_3_1
1000,3.0,3. place,2298,7539_4_9
1000,1.0,1. place,2282,7539_4_9
490,2.0,2. place,2293,7539_4_9
770,2.0,2. place,2035,7539_4_9
500,1.0,1. place,2317,7539_4_9
350,1.0,1. place,2200,7539_4_9
900,1.0,1. place,2180,7539_4_9
700,2.0,2. place,2284,20253_6_10
520,7.0,7. place,2298,20253_6_10
500,3.0,3. place,2309,20253_6_10
500,3.0,3. place,2288,20253_6_10
490,2.0,2. place,2306,20253_6_10
350,3.0,3. place,2293,20253_6_10
396,5.0,5. place,2035,20253_6_10
350,2.0,2. place,2233,20253_6_10
250,3.0,3. place,2260,20253_6_10
250,3.0,3. place,2227,20253_6_10
160,,1/16,2239,20253_6_10
126,5.0,5. place,2200,20253_6_10
720,5.0,5. place,2298,34577_15_14
700,1.0,1. place,2281,34577_15_14
500,3.0,3. place,2364,34577_15_14
500,3.0,3. place,2315,34577_15_14
500,3.0,3. place,2282,34577_15_14
350,3.0,3. place,2436,34577_15_14
250,3.0,3. place,2230,34577_15_14
175,3.0,3. place,2235,34577_15_14
120,,1/32,2239,34577_15_14
324,5.0,5. place,2180,34577_15_14
720,5.0,5. place,2298,9546_6_2
500,3.0,3. place,2288,9546_6_2
500,3.0,3. place,2282,9546_6_2
260,7.0,7. place,2296,9546_6_2
160,,1/16,2311,9546_6_2
112,,1/16,2293,9546_6_2
770,2.0,2. place,2035,9546_6_2
350,2.0,2. place,2233,9546_6_2
245,2.0,2. place,2200,9546_6_2
10,,participation,2239,9546_6_2
5,,participation,2267,9546_6_2
450,3.0,3. place,2180,9546_6_2
1000,3.0,3. place,2298,30263_6_5
500,3.0,3. place,2315,30263_6_5
100,1.0,1. place,2304,30263_6_5
1100,1.0,1. place,2035,30263_6_5
500,1.0,1. place,2227,30263_6_5
350,1.0,1. place,2200,30263_6_5
450,3.0,3. place,2180,30263_6_5
700,2.0,2. place,2289,3389_28_13
500,3.0,3. place,2311,3389_28_13
360,5.0,5. place,2284,3389_28_13
320,,1/16,2298,3389_28_13
10,,participation,2315,3389_28_13
490,2.0,2. place,2293,3389_28_13
500,3.0,3. place,2239,3389_28_13
286,7.0,7. place,2035,3389_28_13
245,2.0,2. place,2200,3389_28_13
130,7.0,7. place,2227,3389_28_13
450,3.0,3. place,2180,3389_28_13
1000,1.0,1. place,2284,38158_6_6
720,5.0,5. place,2298,38158_6_6
490,2.0,2. place,2306,38158_6_6
160,,1/16,2311,38158_6_6
6,,participation,2293,38158_6_6
500,3.0,3. place,2239,38158_6_6
350,,1. place,2248,38158_6_6
350,2.0,2. place,2233,38158_6_6
250,3.0,3. place,2227,38158_6_6
126,5.0,5. place,2200,38158_6_6
700,2.0,2. place,2364,4422_13_12
500,3.0,3. place,2282,4422_13_12
700,1.0,1. place,2436,4422_13_12
700,2.0,2. place,2239,4422_13_12
250,3.0,3. place,2260,4422_13_12
900,1.0,1. place,2180,4422_13_12
500,3.0,3. place,2296,6754_109_11
490,2.0,2. place,2306,6754_109_11
360,5.0,5. place,2289,6754_109_11
260,7.0,7. place,2284,6754_109_11
10,,participation,2315,6754_109_11
182,7.0,7. place,2292,6754_109_11
396,5.0,5. place,2035,6754_109_11
360,5.0,5. place,2239,6754_109_11
350,2.0,2. place,2234,6754_109_11
250,3.0,3. place,2267,6754_109_11
250,3.0,3. place,2230,6754_109_11
324,5.0,5. place,2180,6754_109_11
500,3.0,3. place,2289,17379_17_4
500,3.0,3. place,2288,17379_17_4
500,3.0,3. place,2282,17379_17_4
320,,1/16,2298,17379_17_4
500,1.0,1. place,2227,17379_17_4
360,5.0,5. place,2239,17379_17_4
350,2.0,2. place,2230,17379_17_4
286,7.0,7. place,2035,17379_17_4
175,3.0,3. place,2235,17379_17_4
234,7.0,7. place,2180,17379_17_4
700,2.0,2. place,2284,2618_49_7
320,,1/16,2298,2618_49_7
182,7.0,7. place,2306,2618_49_7
10,,participation,2296,2618_49_7
490,2.0,2. place,2292,2618_49_7
360,5.0,5. place,2239,2618_49_7
350,2.0,2. place,2238,2618_49_7
350,2.0,2. place,2233,2618_49_7
286,7.0,7. place,2035,2618_49_7
100,,participation,2180,2618_49_7
350,1.0,1. place,2237,2618_49_7
720,5.0,5. place,2298,16638_24_3
500,3.0,3. place,2364,16638_24_3
500,3.0,3. place,2296,16638_24_3
500,3.0,3. place,2284,16638_24_3
112,,1/16,2293,16638_24_3
286,7.0,7. place,2035,16638_24_3
250,3.0,3. place,2227,16638_24_3
180,5.0,5. place,2238,16638_24_3
144,,1/16,2180,16638_24_3
245,2.0,2. place,2200,16638_24_3
1000,1.0,1. place,2296,17762_13_8
520,7.0,7. place,2298,17762_13_8
770,2.0,2. place,2035,17762_13_8
500,1.0,1. place,2238,17762_13_8
630,2.0,2. place,2180,17762_13_8
1400,2.0,2. place,2298,27365_61_1
360,5.0,5. place,2364,27365_61_1
360,5.0,5. place,2315,27365_61_1
360,5.0,5. place,2296,27365_61_1
260,7.0,7. place,2282,27365_61_1
252,5.0,5. place,2436,27365_61_1
250,3.0,3. place,2260,27365_61_1
130,7.0,7. place,2233,27365_61_1
5,,participation,2267,27365_61_1
5,,participation,2230,27365_61_1
1400,2.0,2. place,2298,17275_26_9
360,5.0,5. place,2282,17275_26_9
260,7.0,7. place,2289,17275_26_9
10,,participation,2296,17275_26_9
700,1.0,1. place,2293,17275_26_9
550,3.0,3. place,2035,17275_26_9
500,1.0,1. place,2227,17275_26_9
350,2.0,2. place,2317,17275_26_9
350,2.0,2. place,2267,17275_26_9
350,2.0,2. place,2233,17275_26_9
100,,participation,2180,17275_26_9
1000,1.0,1. place,2296,44249_13_5
1000,1.0,1. place,2282,44249_13_5
500,3.0,3. place,2315,44249_13_5
700,1.0,1. place,2436,44249_13_5
500,1.0,1. place,2238,44249_13_5
180,5.0,5. place,2260,44249_13_5
120,,1/32,2239,44249_13_5
700,2.0,2. place,2364,20209_24_13
700,2.0,2. place,2296,20209_24_13
490,2.0,2. place,2306,20209_24_13
360,5.0,5. place,2309,20209_24_13
350,3.0,3. place,2281,20209_24_13
6,,participation,2293,20209_24_13
350,2.0,2. place,2267,20209_24_13
260,7.0,7. place,2239,20209_24_13
250,3.0,3. place,2317,20209_24_13
250,3.0,3. place,2260,20209_24_13
250,3.0,3. place,2233,20209_24_13
3,,participation,2200,20209_24_13
700,2.0,2. place,2289,25334_4_10
