competitor.id,competitor.sum_points,competitor.place,competitor.place_prev,competitor.id_person,competitor.family_name,competitor.given_name,competitor.gender,competitor.timestamp_version,competitor.id_country,competitor.id_weight
9800_296_5,685,60,62.0,9800,KHALMURZAEV,Khusen,male,v1573310008,296,5
10992_92_1,615,60,60.0,10992,PRECIADO,Lenin,male,v1568239403,92,1
63294_14_9,586,60,60.0,63294,IRMAGAMBETOVA,Gaukhar,female,v1653921021,14,9
12863_65_6,583,60,61.0,12863,TAKAYAWA,Tevita,male,v1611913261,65,6
38528_260_10,575,60,60.0,38528,ROPER,Miryam,female,v1610184831,260,10
56188_214_11,556,60,60.0,56188,BILLIET,Sandrine,female,v1655104670,214,11
11642_15_12,514,60,61.0,11642,HAN,Heeju,female,v1620983152,15,12
37562_96_7,500,60,61.0,37562,SOLIS,Francisco,male,v1648456562,96,7
43113_10_8,478,60,60.0,43113,ERSIN,Sila,female,v1618386728,10,8
5983_20_14,418,60,60.0,5983,ALVAREZ,Sara,female,v1652120610,20,14
44952_28_13,389,60,60.0,44952,DERKS,Lieke,female,v1579705011,28,13
48724_48_2,727,61,62.0,48724,POLANCO,Orlando,male,v1573308898,48,2
7882_43_4,698,61,60.0,7882,GOTONOAGA,Dorin,male,v1663945164,43,4
19723_275_5,684,61,63.0,19723,BRASNJOVIC,Darko,male,v1548070958,275,5
40931_15_3,670,61,62.0,40931,LEE,Eunkyul,male,v1631869376,15,3
29284_20_1,605,61,61.0,29284,BERNABEU RICO,Jaume,male,v1581585183,20,1
13087_16_6,576,61,62.0,13087,SVIRYD,Mikita,male,v1565034754,16,6
39413_17_10,559,61,61.0,39413,AMINOVA,Shukurjon,female,v1658000980,17,10
36892_10_11,544,61,61.0,36892,YEKSAN,Ayten,female,v1616575882,10,11
49377_6_9,527,61,61.0,49377,LEVYTSKA-SHUKVANI,Tetiana,female,v1558179800,6,9
65425_13_12,500,61,62.0,65425,TERADA,Utana,female,v1641816104,13,12
12236_92_7,481,61,62.0,12236,FIGUEROA,Freddy,male,v1562955984,92,7
7527_49_8,476,61,61.0,7527,CHIBANA,Gabriela,female,v1628011168,49,8
21430_296_14,390,61,61.0,21430,VLADIMIROVA,Daria,female,v1656679878,296,14
32940_4_13,366,61,61.0,32940,BUTTIGIEG,Chloe,female,v1652882296,4,13
6998_53_4,697,62,62.0,6998,ABDELAAL,Mohamed,male,v1648559689,53,4
13770_53_2,694,62,65.0,13770,ABELRAHMAN,Ahmed,male,v1559568969,53,2
40571_13_3,660,62,63.0,40571,HARADA,Kenshi,male,v1666257565,13,3
31071_9_5,624,62,65.0,31071,BUBYR,Artem,male,v1634233842,9,5
25356_17_1,601,62,62.0,25356,MAHAMMADJONOV,Mirzohid,male,v1663940399,17,1
24611_49_6,575,62,63.0,24611,GONCALVES,Leonardo,male,v1563181831,49,6
17208_25_10,556,62,62.0,17208,KUCZERA,Anna,female,v1603991169,25,10
18232_9_11,528,62,62.0,18232,ANTIPINA,Anastasiia,female,v1653921525,9,11
17233_260_9,512,62,62.0,17233,JIMENEZ,Kristine,female,v1656245788,260,9
12148_97_12,477,62,63.0,12148,BONILLA,Luisa,female,v1667978602,97,12
8245_10_8,475,62,62.0,8245,SENTURK,Gulkader,female,v1570003482,10,8
63839_231_7,471,62,63.0,63839,FOFANA,Moustapha,male,v1669027935,231,7
1335_1_14,386,62,62.0,1335,VELENSEK,Anamari,female,v1621327864,1,14
43377_296_13,360,62,62.0,43377,TATARCHENKO,Nadezhda,female,v1656679885,296,13
21665_21_4,694,63,63.0,21665,FERNANDO,Joao,male,v1625575310,21,4
3712_14_2,662,63,67.0,3712,SMETOV,Yeldos,male,v1609323200,14,2
12579_155_3,655,63,64.0,12579,SCVORTOV,Victor,male,v1644695784,155,3
29969_10_5,613,63,66.0,29969,AYDIN,Omer,male,v1618576894,10,5
37534_14_1,595,63,63.0,37534,DAVLATOV,Sherzod,male,v1613150799,14,1
21761_193_10,550,63,63.0,21761,FRITZE,Caroline,female,v1663939925,193,10
49546_193_6,526,63,64.0,49546,KAPPELMEIER,Kilian,male,v1613050366,193,6
57001_17_11,510,63,64.0,57001,ISOKOVA,Sevinch,female,v1666265688,17,11
36591_296_9,496,63,63.0,36591,NUGAEVA,Liliia,female,v1636371577,296,9
23118_14_7,470,63,64.0,23118,TURGYNALIYEV,Zhambyl,male,v1550585673,14,7
1120_26_12,469,63,64.0,1120,HOWELL,Gemma,female,v1608641627,26,12
36211_20_8,467,63,63.0,36211,GOMEZ ANTONA,Gemma Maria,female,v1552046302,20,8
21051_10_14,382,63,63.0,21051,ESIR,Kubranur,female,v1611827821,10,14
17390_13_13,360,63,63.0,17390,TAKAYAMA,Rika,female,v1643677718,13,13
40992_57_2,660,64,69.0,40992,RAMIREZ,Isaiah,male,v1663941248,57,2
30442_10_3,653,64,65.0,30442,DEMIREL,Umalt,male,v1618572799,10,3
22706_43_4,634,64,66.0,22706,ZABOROSCIUC,Nicon,male,v1546603532,43,4
14431_25_5,604,64,68.0,14431,KUCZERA,Piotr,male,v1564312455,25,5
10865_110_1,568,64,64.0,10865,RAMOS,Jose,male,v1621592561,110,1
4026_57_10,545,64,64.0,4026,AKIYAMA,Leilani,female,v1618387412,57,10
9649_61_6,516,64,65.0,9649,LKHAGVASUREN,Otgonbaatar,male,v1641836510,61,6
22440_296_11,510,64,63.0,22440,BADUROVA,Kamila,female,v1656679881,296,11
36572_20_9,494,64,64.0,36572,CASTELLO DIEZ,Marina,female,v1611828384,20,9
9594_50_8,456,64,64.0,9594,REZZOUG,Imene,female,v1554987939,50,8
68575_46_7,452,64,65.0,68575,LI,Ruixuan,male,v1666276637,46,7
17862_57_12,432,64,65.0,17862,WRIGHT,Chantal,female,v1612201827,57,12
68781_79_14,372,64,64.0,68781,RODRIGUES,Crislayn,female,v1651220031,79,14
19026_44_13,345,64,64.0,19026,PAVIC,Petrunjela,female,v1607942152,44,13
29633_84_2,657,65,59.0,29633,AIBEK UULU,Kubanychbek,male,v1611913237,84,2
2420_4_3,653,65,66.0,2420,CHAINE,Guillaume,male,v1609752701,4,3
37426_3_4,606,65,67.0,37426,UMAYEV,Abdul Malik,male,v1642404132,3,4
49921_78_5,602,65,67.0,49921,DIAO,Abderahmane,male,v1636002513,78,5
13393_193_1,538,65,66.0,13393,PLAFKY,Moritz,male,v1575371883,193,1
